DateTime	CO	NO2	NO	PM2.5	T	V(module)	V	Davlenie	Vlajnost	Osadki
01/01/2020 00:00	0,2	0,015	0		1,8	0,2	0	732,7	75	0
01/01/2020 00:20	0,1	0,013	0		1,8	0,1	0	732,8	74	0
01/01/2020 00:40	0,1	0,013	0		1,8	0,1	0	733	74	0
01/01/2020 01:00	0,2	0,014	0,001		1,8	0,1	0	733	74	0
01/01/2020 01:20	0,1	0,016	0,001		1,7	0,1	0	733,1	74	0
01/01/2020 01:40	0,2	0,017	0,001		1,6	0,2	0	733,2	74	0
01/01/2020 02:00	0,2	0,02	0		1,6	0,2	330	733,3	74	0
01/01/2020 02:20	0,2	0,017	0,001		1,5	0,3	296	733,5	74	0
01/01/2020 02:40	0,1	0,015	0,001		1,5	1,1	0	733,6	74	0
01/01/2020 03:00	0,1	0,015	0,002		1,5	1,4	311	733,7	74	0
01/01/2020 03:20	0,1	0,013	0		1,5	1,5	315	733,9	74	0
01/01/2020 03:40	0,2	0,014	0		1,4	1,3	322	734	74	0
01/01/2020 04:00	0,2	0,015	0		1,3	0,9	0	734,3	74	0
01/01/2020 04:20	0,2	0,015	0		1,3	1,2	305	734,6	74	0
01/01/2020 04:40	0,2	0,015	0		1,2	0,8	327	734,7	74	0
01/01/2020 05:00	0,2	0,015	0		1,2	1	0	735	74	0
01/01/2020 05:20	0,2	0,014	0		1,1	0,4	316	735,3	75	0,3
01/01/2020 05:40	0,2	0,015	0		1	0,6	0	735,5	74	0
01/01/2020 06:00	0,1	0,015	0		1	0,5	0	735,9	74	0
01/01/2020 06:20	0,1	0,02	0		0,9	0,3	314	736,2	74	0
01/01/2020 06:40	0,1	0,016	0,001		0,9	0,7	0	736,6	75	0
01/01/2020 07:00	0,1	0,012	0,001		0,8	0,6	357	737	75	0
01/01/2020 07:20	0,2	0,012	0,001		0,7	0,6	281	737,5	73	0
01/01/2020 07:40	0,2	0,011	0,001		0,7	1,2	0	737,8	72	0
01/01/2020 08:00	0,2	0,011	0		0,5	0,9	0	738,2	70	0,3
01/01/2020 08:20	0,2	0,011	0		0,3	0,9	3	738,6	68	0
01/01/2020 08:40	0,2	0,011	0		0,3	0,6	0	739	66	0
01/01/2020 09:00	0,2	0,01	0		0,1	0,8	299	739,4	65	0
01/01/2020 09:20	0,2	0,009	0,001		0	0,8	308	739,8	65	0
01/01/2020 09:40	0,2	0,011	0		-0,3	1,6	331	740,3	66	0
01/01/2020 10:00	0,2	0,012	0		-0,6	1,3	0	740,8	63	0
01/01/2020 10:20	0,2	0,013	0		-0,8	1,8	286	741,2	58	0
01/01/2020 10:40	0,2	0,01	0		-1,1	1,5	322	741,7	55	0
01/01/2020 11:00	0,2	0,009	0		-1,5	1,1	330	742,2	54	0
01/01/2020 11:20	0,2	0,009	0		-1,8	1,5	0	742,4	53	0
01/01/2020 11:40	0,2	0,012	0,001		-1,8	0,8	0	742,7	53	0
01/01/2020 12:00	0,2	0,014	0,001		-1,7	0,8	56	742,8	53	0
01/01/2020 12:20	0,2	0,027	0,002		-1,6	0,8	0	743	52	0
01/01/2020 12:40	0,2	0,017	0		-1,6	0,6	315	743,1	52	0
01/01/2020 13:00	0,2	0,02	0,001		-1,8	1,3	325	743,3	54	0
01/01/2020 13:20	0,2	0,016	0,001		-2	1,2	305	743,6	56	0
01/01/2020 13:40	0,2	0,017	0,001		-2,3	1,7	290	743,8	57	0
01/01/2020 14:00	0,2	0,024	0,002		-2,1	1,5	0	744	55	0
01/01/2020 14:20	0,3	0,018	0,001		-2,2	1,3	283	744,1	51	0
01/01/2020 14:40	0,3	0,013	0,002		-2,4	1,6	324	744,3	55	0
01/01/2020 15:00	0,2	0,012	0,001		-2,7	1,5	332	744,5	55	0
01/01/2020 15:20	0,2	0,01	0,001		-3	2,1	0	744,7	53	0
01/01/2020 15:40	0,2	0,014	0,001		-3	1,1	321	744,8	53	0
01/01/2020 16:00	0,2	0,014	0		-3,1	1,1	0	745,1	53	0
01/01/2020 16:20	0,2	0,014	0		-3,4	1,4	305	745,4	54	0
01/01/2020 16:40	0,2	0,015	0		-3,5	0,6	0	745,5	54	0
01/01/2020 17:00	0,2	0,02	0,001		-3,6	0,1	0	745,8	56	0
01/01/2020 17:20	0,2	0,019	0		-3,8	0,1	0	745,9	57	0
01/01/2020 17:40	0,2	0,02	0		-3,8	0,1	0	746	57	0
01/01/2020 18:00	0,5	0,021	0		-3,6	0,1	0	746	58	0
01/01/2020 18:20	0,3	0,031	0,008		-3,3	0	0	746,1	58	0
01/01/2020 18:40	0,3	0,033	0,002		-3,1	0,1	0	746,2	57	0
01/01/2020 19:00	0,3	0,029	0,001		-2,9	0,4	0	746,1	57	0
01/01/2020 19:20	0,3	0,02	0,002		-2,7	0,2	324	746,1	58	0
01/01/2020 19:40	0,2	0,019	0,004		-2,5	0,3	307	746	58	0
01/01/2020 20:00	0,2	0,016	0,002		-2,4	0,2	0	746	58	0
01/01/2020 20:20	0,2	0,017	0		-2,2	0,2	0	746,1	59	0
01/01/2020 20:40	0,1	0,017	0		-2,1	0	0	746,2	59	0
01/01/2020 21:00	0,4	0,021	0,001		-2	0,1	0	746,2	59	0
01/01/2020 21:20	0,2	0,03	0		-2	0,1	0	746,4	59	0
01/01/2020 21:40	0,2	0,028	0,001		-2	0,1	0	746,4	60	0
01/01/2020 22:00	0,2	0,023	0,001		-1,9	0,2	0	746,5	60	0
01/01/2020 22:20	0,2	0,025	0		-1,8	0,1	0	746,6	60	0
01/01/2020 22:40	0,1	0,023	0		-1,9	0,2	0	746,5	61	0
01/01/2020 23:00	0,1	0,016	0		-1,9	0,3	0	746,5	62	0
01/01/2020 23:20	0,1	0,015	0		-2	0,3	0	746,4	63	0
01/01/2020 23:40	0,1	0,014	0		-2,1	0,7	0	746,3	64	0
02/01/2020 00:00	0,1	0,014	0		-2,2	0,7	227	746,3	66	0
02/01/2020 00:20	0,1	0,014	0		-2,3	1,2	0	746,2	66	0
